[2025-05-19 01:03:52 +0000] 127.0.0.1      	GET 	get_metadata	plugin-directory-name	-	-	-	update_action=get_metadata&update_slug=plugin-directory-name&action=get_metadata&slug=plugin-directory-name
[2025-05-19 01:04:54 +0000] 127.0.0.1      	GET 	get_metadata	wp-ultimo-vat	-	-	-	update_action=get_metadata&update_slug=wp-ultimo-vat&action=get_metadata&slug=wp-ultimo-vat
[2025-05-20 15:44:43 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 15:44:54 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 15:50:25 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 19:26:52 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 19:27:02 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 22:25:51 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 22:26:29 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 22:27:00 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
[2025-05-20 22:27:11 +0000] 127.0.0.1      	GET 	get_metadata	wp-multisite-waas-woocommerce	2.0.2	6.8.1	https://wp-multisite-waas.test	update_slug=wp-multisite-waas-woocommerce&update_action=get_metadata&installed_version=2.0.2&php=8.2.28&locale=en_US&checking_for_updates=1&action=get_metadata&slug=wp-multisite-waas-woocommerce
